diff_id,language,gold,gen_codellama-7b,gen_qwen2.5-coder-7b,gen_deepseek-6.7b,bertscore_codellama-7b,bertscore_deepseek-6.7b,bertscore_qwen2.5-coder-7b,bleu_codellama-7b,bleu_deepseek-6.7b,bleu_qwen2.5-coder-7b,chrf_codellama-7b,chrf_deepseek-6.7b,chrf_qwen2.5-coder-7b,meteor_codellama-7b,meteor_deepseek-6.7b,meteor_qwen2.5-coder-7b,nli_entail_diff→gen_codellama-7b,nli_entail_diff→gen_deepseek-6.7b,nli_entail_diff→gen_qwen2.5-coder-7b,nli_entail_diff→gold,nli_entail_gold→gen_codellama-7b,nli_entail_gold→gen_deepseek-6.7b,nli_entail_gold→gen_qwen2.5-coder-7b,nli_signed_diff→gen_codellama-7b,nli_signed_diff→gen_deepseek-6.7b,nli_signed_diff→gen_qwen2.5-coder-7b,nli_signed_diff→gold,nli_signed_gold→gen_codellama-7b,nli_signed_gold→gen_deepseek-6.7b,nli_signed_gold→gen_qwen2.5-coder-7b,rougeL_codellama-7b,rougeL_deepseek-6.7b,rougeL_qwen2.5-coder-7b
84,cpp,[ Type checker ] Request member layout for a member of a finalized type .,Fix static void finalizeType in TypeCheckDecl.cpp.,Add member layout request in finalizeType,"""Adds lazy variable storage synthesis for TypeCheckDecl""",0.8505052924156189,0.8526063561439514,0.8836134672164917,0.02447822402834545,0.02447822402834545,0.036221601987507866,0.21562506334289888,0.17073339602162588,0.3909536826815005,0.0,0.035211267605633804,0.10638297872340426,0.3021446764469147,0.9617196321487427,0.9836624264717102,0.9861976504325867,0.011163286864757538,0.02026766538619995,0.7696232795715332,0.06854632496833801,0.9540347349829972,0.9828222149517387,0.983257181243971,-0.19504458457231522,-0.8772869110107422,0.7457965351641178,0.0,0.10526315789473685,0.2222222222222222
148,cpp,Merge and generalize case 3 and case 6,"""Fix prevector tester to use ConsumeIntegralInRange""",Fix bounds in fuzz test for prevector,"""Refactored switch cases in test_one_input""",0.8314655423164368,0.8389608860015869,0.8433645367622375,0.0,0.0,0.0,0.14265680312301524,0.12453378720151254,0.08100358422939066,0.0,0.06493506493506494,0.0,0.035872682929039,0.47422581911087036,0.2519386410713196,0.2911505103111267,0.029800349846482277,0.0808529257774353,0.009093348868191242,-0.26672013103961945,0.449815372005105,0.22013291716575623,0.2777669047936797,-0.6063807662576437,0.04967643879354,-0.10407581459730864,0.0,0.0,0.0
170,cpp,Moved API Breaking Changes section of the documentation above the programmer ' s FAQ .,"Update imgui.cpp: API breaking changes, bug fixes, and improvements.",Moved API breaking changes section and updated troubleshooting/FAQ.,"""Update imgui.cpp with API breaking changes""",0.8693056702613831,0.8691795468330383,0.9091141223907471,0.031251907639724415,0.030266181377145766,0.0779149760859135,0.23615420949812405,0.1872114962328104,0.4004070832079206,0.13020833333333334,0.13297872340425532,0.34825174825174826,0.637016773223877,0.30304956436157227,0.6087111234664917,0.6365512013435364,0.00816560909152031,0.01039047073572874,0.008682554587721825,0.6206454746425152,0.2254902347922325,0.5866689942777157,0.6060674879699945,0.00798128909082152,0.009269271278753877,0.008602694360888563,0.2608695652173913,0.3,0.5454545454545455
227,cpp,Allow cold change of active extruder ( ),Fix tool change function to check for hotend temperature.,Fix extruder change when hotend too cold,"""Fix tool change function in Marlin""",0.8731380701065063,0.8697865009307861,0.8765448927879333,0.04196114906296548,0.05522397783539471,0.07492442692259767,0.21757933628810966,0.21153681227220617,0.3697805108135432,0.0617283950617284,0.06410256410256411,0.189873417721519,0.23465842008590698,0.13542675971984863,0.2548418641090393,0.8696174025535583,0.04990945756435394,0.04439772292971611,0.0036141257733106613,0.1671990603208542,0.10413918271660805,0.2398332841694355,0.8166557252407074,-0.05598893761634827,-0.32211073115468025,-0.06684584356844425,0.13333333333333333,0.16666666666666666,0.15384615384615383
624,cpp,[ renderer ] Don ' t adjust 3d rectangles in bypass mode,Fix stereo rendering in BaseRenderer.cpp.,Refactor stereo view handling and update display rect calculation,"""Refactored BaseRenderer stereo view handling""",0.8640251159667969,0.8460550308227539,0.8387488126754761,0.033495035708457806,0.0,0.0,0.22183192276734615,0.2192161280529313,0.17382877198724667,0.08849557522123892,0.0,0.0,0.08227041363716125,0.1589878499507904,0.21020552515983582,0.06293050944805145,0.0053750891238451,0.009725594893097878,0.0057333484292030334,0.08072467928286642,0.15359780611470342,0.2026136927306652,-0.37823088467121124,-0.381744472309947,-0.9160157795995474,-0.7921937927603722,0.13333333333333333,0.0,0.0
634,cpp,lua : Add support to use app . activeFrame with a Frame object,Update active frame number in App_set_activeFrame(),Refactor active frame handling in Lua bindings,"""Update App_set_activeLayer and App_set_activeFrame""",0.8650918006896973,0.8561068773269653,0.8736379742622375,0.031157290929555895,0.028398387225677894,0.0,0.29031688874583966,0.27268330151562037,0.18793008214518023,0.04065040650406504,0.0,0.08064516129032259,0.7900822162628174,0.36725905537605286,0.10408294200897217,0.46404528617858887,0.020209280773997307,0.04234173893928528,0.34235790371894836,0.787378761684522,0.2975539267063141,0.09507579077035189,0.3253904730081558,0.017499718349426985,0.03817647509276867,0.33609276777133346,0.2105263157894737,0.2105263157894737,0.1111111111111111
679,cpp,Updated expiration in seconds for benchmark transfer command .,Add transfer subcommand to benchmark command.,Add expiration option to transfer benchmark,"""Update main.cpp for benchmarking transfers""",0.8985346555709839,0.8637271523475647,0.8894525170326233,0.11737849637633069,0.05669791110976001,0.06479066746903603,0.395288112805255,0.4158477772031904,0.46825875089710295,0.1149425287356322,0.2180232558139535,0.17241379310344826,0.9860714077949524,0.37462931871414185,0.8795410990715027,0.7805821895599365,0.3606581687927246,0.07996576279401779,0.9628158211708069,0.9833014032337815,0.2808045297861099,0.867790549993515,0.7552416902035475,0.2666848823428154,0.07530026463791728,0.9606414143927395,0.28571428571428575,0.14285714285714288,0.28571428571428575
932,cpp,Add option to disable 077 umask ( create new files with system default umask ),Update help message for init.cpp.,Add `-sysperms` option to set new files with system default permissions,"""Update script verification threads, pid file, and reindex options""",0.8658867478370667,0.8538244366645813,0.8886722326278687,0.0,0.0,0.2948553103743023,0.08521574251299464,0.19605530845614422,0.5060879913814987,0.0,0.0,0.5334974315068493,0.9120644330978394,0.9629429578781128,0.8526921272277832,0.46936944127082825,0.005380717106163502,0.06508215516805649,0.5732419490814209,0.9038590583950281,0.9618694368982688,0.851308052893728,0.46791105170268565,-0.0042504193261265755,-0.05558332800865173,0.5096883550286293,0.0,0.0,0.6666666666666667
997,cpp,Make remote FS work with GDNative on Android,Fix manifest and add ignore_apk_file function for APK export.,Refactor Android export to ignore APK file and fix manifest handling.,"""Adds APK export functionality""",0.8259879946708679,0.8344521522521973,0.8417388200759888,0.0,0.0,0.033864985683445356,0.13319904395209142,0.09051606903504357,0.20284831341997292,0.1234567901234568,0.0,0.12048192771084339,0.8840636610984802,0.22849035263061523,0.8892744779586792,0.022134698927402496,0.0049539548344910145,0.2759607434272766,0.017227165400981903,0.8744117310270667,0.14074040949344635,0.8858976678457111,0.011767646297812462,-0.010127172339707613,-0.0741683840751648,-0.030611805617809296,0.0,0.0,0.10526315789473685
1118,cpp,! B ( CE - 10899 ) ( AISystem ) Sequence nodes : changed the way how nodes react on invalid sequence IDs to prevent consequential errors from preceding errors ( Approved by samuelk ),Refactor: Improve performance by using early returns and avoiding unnecessary code execution.,Refactor conditional checks for SequenceId assignment in AI sequence flow nodes.,"""Implemented AI sequence bookmarking and action handling""",0.8349938988685608,0.8247820734977722,0.8474899530410767,0.007535454515775024,0.0026526567499345092,0.005923939824200056,0.16144850437850153,0.12536694842990212,0.2124630439233952,0.015290519877675842,0.015527950310559004,0.015337423312883437,0.080309197306633,0.394942045211792,0.25642308592796326,0.0033264541998505592,0.03134869411587715,0.5440778136253357,0.7248965501785278,0.07514843391254544,0.36781455017626286,0.23819929733872414,-0.02843060251325369,-0.015918485820293427,0.3188750892877579,0.7237668642774224,0.05263157894736842,0.060606060606060615,0.10810810810810811
